Date,MMM,AOS,ABT,ABBV,ACN,ADM,ADBE,ADP,AES,AFL,A,ABNB,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN
11-05-2022,135.8321991,55.7480011,102.8198853,143.2483215,274.3461304,81.84958649,379.3299866,202.3034058,19.07570648,54.79207993,112.7949829,116.1500015,224.3709412,98.11000061,45.81000137,210.8591003,152.5088348,256.1099854,106.3750458,55.36667633,123.1342316,113.6025009,113.9609985,45.58098221,105.3720016
12-05-2022,138.7824554,57.39021683,104.8891144,145.4447479,274.6097717,81.92720795,388.4899902,201.2847595,18.58830261,54.05033875,114.9125443,115.9400024,222.9450836,97.40000153,44.61000061,211.2747803,152.7351685,259.5299988,108.9021912,55.18595123,122.1763611,112.8440018,113.1610031,46.00425339,106.9304962
13-05-2022,138.5134277,58.31336212,106.744606,144.7000427,280.0392456,82.84893799,405.4500122,202.5556335,19.34330559,54.21409607,118.1284714,121.4499969,225.160965,98.66999817,46.15000153,226.4881744,156.9694061,275.519989,110.4694061,55.58544159,122.7894058,116.050499,116.5155029,46.77143478,113.0550003
16-05-2022,139.626709,57.31248093,106.5794525,146.5570984,279.4533691,84.58566284,402.8599854,202.3713531,19.17127609,54.12740326,119.0388336,114.4400024,224.3998413,98.91999817,45.59999847,224.0136414,155.5548859,274.2000122,109.4605103,55.98492432,121.8889999,114.4449997,114.7925034,47.38870239,110.8105011
17-05-2022,141.333786,58.64374542,111.271637,145.906662,284.2383728,86.38887787,409.6499939,208.5414429,19.84026527,55.53419113,121.7896881,117.5,230.8162231,98.38999939,48.02000046,236.7920837,156.1112518,280.5899963,111.3313828,56.83145905,123.7664413,116.4729996,116.7014999,47.82961655,115.3684998
18-05-2022,138.1701355,56.13668823,109.5229874,143.6913605,267.7252197,82.4023056,397.8800049,202.274292,19.33374596,54.64160919,119.5236969,108.0299988,225.893158,96.15000153,46.58000183,233.5751953,149.0007172,269.1099854,106.9235687,56.06101608,122.6169815,111.899498,112.401001,46.91252518,107.1125031
19-05-2022,137.7203064,56.79746246,109.2315598,143.0220947,267.1881409,81.73950958,394.3800049,200.673584,19.75425148,53.94306564,121.1168213,114.1699982,225.652298,98.48000336,46.75999832,236.6436157,148.8309937,273.8900146,106.5807419,55.64250946,120.490509,110.3840027,110.7454987,45.05189514,107.3190002
20-05-2022,134.7871094,56.13668823,110.0087204,142.3527832,270.1567688,81.8759613,399.0899963,202.4101257,19.6204586,53.44826126,123.8181915,112.5500031,228.8990173,97.51000214,46.09999847,234.0305023,150.6133423,275.0400085,106.8452148,55.80420303,117.8467865,108.9079971,109.3130035,45.05189514,107.5910034
23-05-2022,135.3025208,56.71972275,111.7476501,139.5436401,276.7386169,84.38096619,406.7600098,206.6011353,20.19387436,54.84535217,124.6592941,113.2799988,229.2458496,98.87999725,46.45999908,240.4642792,151.556366,278.7099915,106.2868881,56.11808777,120.3659897,111.487999,111.6664963,45.9601593,107.5569992
24-05-2022,136.5863953,56.70029068,110.5236053,140.5617065,272.754364,85.54089355,398.4100037,206.3779907,20.29900169,55.37896347,123.1057434,106.2399979,228.157196,99.55999756,44.20999908,240.6721191,151.1225739,270.1799927,105.797142,58.32476425,123.4024353,105.9700012,105.9260025,46.67443466,104.0999985
25-05-2022,136.6238708,56.88491821,109.9601593,143.2483215,273.0765991,86.52534485,402.5,207.5130615,20.4805851,56.0775032,119.1179962,110.4000015,227.7718201,99.09999847,45.15999985,235.0895996,151.1508331,276.5700073,105.8852921,58.25817871,125.4331131,105.8050003,105.8395004,47.52096939,106.7750015
26-05-2022,137.7952881,57.94410324,111.5922165,141.9380188,284.7070618,86.07697296,408.6000061,211.7622681,21.0253315,57.35816574,122.5516205,114.3000031,233.619812,100.8700027,47.13000107,252.4508667,153.9988403,274.8299866,108.5103836,59.40907669,128.0576935,107.7925034,108.2959976,48.05888748,111.0774994
27-05-2022,140.1099854,59.489151,113.3602982,141.4007111,297.011322,86.68130493,428.2200012,217.951767,21.4362793,58.60972595,129.1813965,120.5,241.481308,102.7300034,48.43000031,268.1591492,158.9875488,284.5700073,111.213829,60.66460037,131.1228485,112.3164978,112.7990036,47.99715042,115.1464996
31-05-2022,139.9038086,58.42024994,114.1083145,138.9214478,291.4548645,88.52351379,416.480011,216.2831421,21.06356049,58.76496124,126.2227249,120.8700027,237.1555481,101.0400009,48.25999832,257.7661438,156.4979095,277.6400146,109.3625565,60.70265198,130.9313049,113.762001,114.0390015,47.6973381,120.2095032
01-06-2022,137.2142487,58.73119736,111.7962265,137.6488495,291.6404419,84.47843933,418.1600037,212.771225,20.91064644,58.02760315,121.7995834,116.7200012,234.6024628,101.1299973,46.56999969,237.6730042,154.4798126,265.1700134,109.5486603,60.10342026,129.0251312,113.8919983,114.137001,47.68851852,121.6839981
02-06-2022,138.8636017,59.43084335,114.1568909,138.3370056,299.4233398,87.02245331,441.2799988,217.0301361,21.15912628,57.91117477,127.746582,121.2600021,243.6008453,102.7399979,47.38999939,248.729187,157.1580353,284.8699951,111.7721558,59.35201263,129.3143158,117.6224976,117.7460022,47.75024796,125.5110016
03-06-2022,136.7925568,59.11989212,113.2437057,138.7329254,297.7926025,85.68710327,429.7600098,214.0906219,21.28337097,57.06710434,127.1429672,119.8300018,243.042038,100.8399963,48.88000107,248.2045898,154.0648651,273.6000061,109.1568604,59.07617569,127.2128983,114.5410004,114.564003,47.45924377,122.3499985
06-06-2022,137.0174713,60.12077332,113.0979919,138.1296082,297.5777283,86.17446136,429.4599915,212.9555664,21.70387459,57.39697266,126.2919922,122.0199966,248.0325623,100.6500015,48.84999847,255.1629181,153.3104248,269.0100098,109.7837448,59.4756546,127.5792236,116.8205032,117.010498,47.25642776,124.7900009
07-06-2022,137.6359558,60.05275345,113.5448608,140.5900116,299.3355103,87.25637817,433.4200134,215.6428223,21.68476105,57.85296631,127.5486755,122.9000015,251.2503662,101.7699966,49.33000183,255.2619171,154.9607697,273.5100098,111.0375214,60.08439636,127.7623444,117.149498,117.2294998,47.62679291,123
08-06-2022,136.2771454,59.36282349,111.4173508,140.6936798,295.5367737,86.3693924,428.8399963,213.4212036,21.23558426,56.97008896,125.5102615,123.7699966,243.1480255,100.7600021,48.11000061,251.0354462,147.1900787,273.1300049,108.1969299,58.13453293,126.335701,117.1940002,117.237999,43.64099121,121.1800003
09-06-2022,135.115097,59.09074402,109.4938507,137.0926819,288.4960022,83.80589294,426.4200134,210.2532806,20.59526634,55.71852875,122.8385849,115.7200012,244.3426666,99.81999969,46.06999969,239.6894073,141.8996277,262.5499878,106.3064728,56.71731186,123.2510681,114.8355026,114.9179993,42.90908813,116.1500015
10-06-2022,128.9956512,56.41849518,106.5017395,134.9905243,279.2971191,82.53876495,393.8399963,206.2763062,19.77336693,53.97217178,119.3060074,108.9100037,239.1209106,97.44000244,44,234.8218536,137.9576874,257.0599976,104.9253693,56.42245483,120.0989304,111.161499,111.4274979,43.1559906,109.6500015
13-06-2022,127.7961349,54.50418854,102.887886,131.4272156,270.0102844,79.93628693,371.6499939,199.5895233,18.50229073,52.1384964,115.0609818,98.93000031,233.8124847,91.05999756,40.93000031,220.2985382,128.9233551,244.0099945,101.0073318,54.57722092,118.6626434,106.3925018,106.876503,41.58636093,103.6699982
14-06-2022,126.7465439,54.06690979,100.0026321,129.730423,268.6626587,80.57958221,370.8200073,198.9754486,18.07222748,52.10939026,114.7938156,98.87000275,230.4693909,89.30000305,40.59999847,221.398941,127.6596603,238.0800018,99.19522095,52.89367676,117.5926514,106.7154999,107.1940002,41.61333466,102.3099976
15-06-2022,125.8843994,54.45560837,101.8095627,130.1734772,274.59021,80.19944763,376.9200134,201.9191742,18.68387413,52.61389542,115.2489853,101.4700012,230.5368195,91.04000092,41.18000031,213.2202759,127.9991608,243.7799988,99.0280304,53.01732254,117.2841949,109.7645035,110.3905029,41.05596542,107.6699982
16-06-2022,122.7075424,52.07487106,99.15745544,131.172699,264.541748,77.03163147,365.0799866,194.8912354,18.10089874,51.43024826,113.7548141,93.26000214,226.5001221,87.45999908,38.68000031,200.4219055,123.1047668,229.8200073,94.77933502,52.284935,115.2213211,106.0335007,106.6360016,40.79527283,103.6600037
17-06-2022,121.6766891,51.6084404,99.60433197,130.3525848,268.9165955,75.35512543,360.7900085,195.2226563,18.39716339,51.46905518,111.5284042,99.48999786,227.3383026,89.52999878,40.41999817,210.206543,124.2741623,234.4700012,94.09088135,52.07567978,116.2141953,107.1435013,107.8655014,40.73234558,106.2200012
21-06-2022,121.8359985,51.39466095,101.4306946,135.2450409,276.0940857,77.39227295,362.9899902,201.6170044,19.00880814,52.56538391,112.6861343,102.2699966,232.193924,90.65000153,40.50999832,214.4594727,124.1232605,230.3099976,93.51062012,52.52272797,117.4095001,111.5439987,112.0149994,41.08293915,108.6800003
22-06-2022,122.2014694,51.55985641,102.4313049,139.1005554,279.677948,75.4720993,365.3299866,202.1628571,19.3528614,52.35193634,112.606987,99.52999878,232.1842957,90.38999939,40.36999893,214.3702393,125.7924423,235.0899963,93.87451172,52.80807495,117.6697693,111.4875031,112.0339966,37.30726624,108.9499969
23-06-2022,121.9671936,52.59960938,103.1793365,140.8822174,279.1213074,69.93570709,376.6400146,205.2625732,19.78292465,52.05117798,117.3566437,95.72000122,233.2055359,91.87000275,39.90000153,211.7728882,130.0927277,251.1199951,95.21206665,53.76873398,117.419136,112.2419968,112.6845016,38.21522141,112.4400024
24-06-2022,125.8843994,54.24181747,106.3268738,143.6065369,292.3435364,72.63567352,387.7200012,213.2652435,20.47102547,54.12740326,120.0184555,103.5100021,242.8589935,94.45999908,41.91999817,222.8463135,135.3549042,258.75,97.95601654,54.52014923,122.5763016,117.9749985,118.538002,39.01531219,116.4599991
27-06-2022,124.4505997,54.27097702,105.9674377,144.360672,285.7519836,74.11724091,381.0700073,212.7973785,20.49969673,54.22442627,119.3060074,101.5,237.1748047,94.51999664,40.86999893,224.6604919,137.3635864,250.1699982,97.60195923,55.10034943,121.6412582,115.8335037,116.6224976,38.82652283,113.2200012
28-06-2022,122.1358795,53.61991501,103.9176483,143.7479248,277.1389771,74.0684967,365.6300049,208.6546936,20.25121689,54.23412323,115.8327942,97.52999878,233.6390533,92.38999939,40.77999878,221.2601471,136.2696686,241.9199982,96.77581787,55.1954689,121.1689148,112.0074997,112.5715027,38.82652283,107.4000015
29-06-2022,121.6110916,53.25065994,105.9868622,145.3033447,273.2426147,75.28690338,368.5,206.8319092,19.45798874,53.80723572,116.6639938,93.93000031,234.2363586,92.12999725,40.47999954,210.0578461,137.4296265,242.1499939,96.76599121,55.13839722,120.8990173,111.7014999,112.2565002,37.54099274,108.9199982
30-06-2022,121.2737198,53.13404846,105.5497055,144.3795319,271.1333008,75.63778687,366.0599976,204.7362061,20.07919312,53.6811142,117.5248718,89.08000183,233.2373962,91.33000183,40.04999924,207.1730042,137.8955231,236.6699982,96.28407288,55.74713516,122.1617889,108.9629974,109.3724976,37.54998779,106.2099991
01-07-2022,120.4115829,54.44588852,107.0749054,144.9828644,274.0628967,74.47789001,368.480011,207.8456573,20.5283699,54.56399536,118.1691971,91.41000366,235.4390259,92.12000275,41.16999817,203.3761292,140.8430176,247.3399963,97.96585083,57.13581848,125.9886856,108.7375031,109.0810013,37.9814949,109.5599976
05-07-2022,121.0863037,55.76743317,106.18116,145.1053772,268.7115479,70.54978943,376.4899902,207.1145935,20.24165916,53.86545181,119.5074081,95.94000244,232.7427521,93.12999725,41.54000092,198.6969452,141.9744873,254.1100006,98.75263977,55.09083939,124.2535629,113.2630005,113.887001,37.50503922,113.5
06-07-2022,121.6766891,56.32131577,105.588562,143.7856293,269.4634399,70.39382935,382.8299866,211.77388,20.10786247,54.27293015,120.121994,92.87999725,230.0755615,92.26000214,41.06999969,196.5853882,142.6400757,249.5399933,99.03785706,55.52837372,126.4128265,114.5719986,115.213501,37.00161362,114.3300018
07-07-2022,121.8734894,57.92466736,106.3657227,143.2860107,272.8421936,72.51870728,390.8900146,211.052597,20.46146965,54.67071533,122.0747986,97.5,228.7177429,92.90000153,40.97000122,201.2447205,142.2502289,259.6400146,99.34274292,54.98621368,126.4706573,118.7829971,119.3059998,37.58594513,116.3300018
08-07-2022,120.6271057,55.35930634,106.1422958,144.0872955,272.519989,71.48551178,389.4400024,211.7836456,20.54748344,54.57369232,121.4403915,97.34999847,225.2164764,92.15000153,40.88999939,204.1493835,139.1506042,261.519989,96.91352081,54.53917313,126.1525497,119.3535004,120.1685028,37.32524872,115.5400009
11-07-2022,120.8988647,55.08722305,105.7828522,144.4455109,268.4185791,70.79345703,384.1600037,209.4637299,20.35634232,54.36995697,122.0450592,95.09999847,227.0398407,90.58000183,40.34000015,198.0922241,136.4122772,249.4799957,96.27423859,55.09083939,125.6320267,115.6764984,116.5224991,37.71180344,111.75
12-07-2022,122.0140533,54.55277634,105.2097015,143.7196503,267.2467651,71.00790405,375.5400085,206.9293671,20.13653183,54.07889938,118.1989441,96.55000305,224.9448853,89.33000183,41.79999924,194.1268311,136.1650696,248.9799957,95.31041718,54.99572372,123.4149323,114.0205002,114.8495026,38.03543091,109.2200012
13-07-2022,120.2991104,53.92115402,103.1793365,143.4274139,266.727356,70.8519516,371.9400024,205.7401886,19.9836216,52.9631691,117.61409,95.63999939,221.1235657,88.16000366,41.25999832,194.3052521,133.7595215,249.8600006,93.88435364,54.94816589,122.2871017,111.3535004,112.1869965,37.72079086,110.4000015
14-07-2022,120.2428741,52.59960938,103.1500549,143.1419983,263.2973022,69.88697815,372.9599915,205.8669281,19.61089897,51.85713577,114.8682709,91.05000305,215.2945557,86.83000183,40.79000092,194.959549,130.6503906,247.1799927,94.02204132,55.05279541,116.5612106,110.3675003,111.4400024,37.42412949,110.6299973
15-07-2022,121.9484558,55.0483551,106.1847382,146.1676941,266.0903015,70.17938995,379.8599854,208.7229614,19.44843102,52.69151306,117.7925262,94.66000366,218.417572,88.41000366,41.31000137,198.9646149,135.7847443,254.8800049,95.4087677,55.31911469,117.9878769,111.7774963,112.7669983,37.74776077,113.5500031
